Item,Item Description,Planner,Order Type,Order#,Ln#,Ordered Date,Line Creation Date,Line Update Date,Request Date,Schedule Date,Promise Date,Open Qty,Price,Extended Price,Item Cost ,Material Cost,Material OH Cost,Resource Cost,Overhead Cost,OSP Cost,Customer Name,Address Line 1,Address Line 2,Address Line 3,Address Line 4
YT001391-006,SCREWCAP HEXHD .500-13 1.750 GR5 YZN STL,FS,YTS-INTERNATIONAL,561825,1,30-JUL-20,30-JUL-20,30-JUL-20,20-NOV-20,18-SEP-20,18-SEP-20,225,0.35,78.75,0.27,0.27,,,,,WABTEC BRASIL FABRICA‚ÌO E MANUTEN‚ÌO DE EQUIPAMENTOS LTDA.,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",
YT004197-003,NUT HEX - STL YZN .312-18 GR5,FS,YTS-DOMESTIC,561931,5,17-AUG-20,17-AUG-20,18-AUG-20,17-AUG-20,28-AUG-20,28-AUG-20,12,3.00,36.00,0.01,0.01,,,,,NAVAL AIR WARFARE CENTER,AIRCRAFT DIVISION,ROUTE 547 BLDG 148  MCC1,"Lakehurst,NJ 08733 - US",
YT004741-007,WASHER FLAT STEEL - YZN .375 ID .875 OD .083THK,FS,YTS-DOMESTIC,561931,6,17-AUG-20,17-AUG-20,18-AUG-20,17-AUG-20,28-AUG-20,28-AUG-20,12,3.00,36.00,0.03,0.03,,,,,NAVAL AIR WARFARE CENTER,AIRCRAFT DIVISION,ROUTE 547 BLDG 148  MCC1,"Lakehurst,NJ 08733 - US",
YT004744-007,WASHER FLAT STEEL - YZN .688 IS 1.750 OD .134THK,FS,YTS-INTERNATIONAL,561480,1,16-JUN-20,16-JUN-20,14-AUG-20,21-OCT-20,11-SEP-20,11-SEP-20,700,0.25,175.00,0.19,0.19,,,,,WABTEC BRASIL FABRICA‚ÌO E MANUTEN‚ÌO DE EQUIPAMENTOS LTDA.,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",
YT01783,WASHER FLAT .500 ZINC DICHROMATE,FS,YTS-INTERNATIONAL,561745,1,22-JUL-20,22-JUL-20,04-AUG-20,21-SEP-20,28-AUG-20,28-AUG-20,675,0.15,101.25,0.12,0.12,,,,,WABTEC BRASIL FABRICA‚ÌO E MANUTEN‚ÌO DE EQUIPAMENTOS LTDA.,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",
YT02008-806,"O.C. PKGD 6""MB COPPER - PAL CB BOX",8,YTS-INTERNAL,110649,3,22-JUL-20,22-JUL-20,24-JUL-20,22-JUL-20,24-SEP-20,24-SEP-20,4,"1,834.73","7,338.93","1,834.73","1,175.25",,120.55,538.93,0.00,WABCO-KANSAS CITY SERVICE CENTER,4800 DERAMUS,(LEX),"KANSAS CITY,MO 64120 - US",
YT02203,"RIVET,POP SS 1/8 DIA - #SSD44BS",FS,YTS-INTERNATIONAL,559302,1,11-DEC-19,11-DEC-19,04-AUG-20,21-OCT-20,28-AUG-20,28-AUG-20,16,0.04,0.64,0.03,0.03,,,,,WABTEC BRASIL FABRICA‚ÌO E MANUTEN‚ÌO DE EQUIPAMENTOS LTDA.,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",
YT02203,"RIVET,POP SS 1/8 DIA - #SSD44BS",FS,YTS-INTERNATIONAL,561477,1,16-JUN-20,16-JUN-20,14-AUG-20,21-OCT-20,11-SEP-20,11-SEP-20,500,0.04,20.00,0.03,0.03,,,,,WABTEC BRASIL FABRICA‚ÌO E MANUTEN‚ÌO DE EQUIPAMENTOS LTDA.,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",
YT02203,"RIVET,POP SS 1/8 DIA - #SSD44BS",FS,YTS-DOMESTIC,560788,4,08-APR-20,08-APR-20,13-AUG-20,18-SEP-20,18-SEP-20,18-SEP-20,4,0.00,0.00,0.03,0.03,,,,,OHIO CAT,900 KEN MAR INDUSTRIAL PARKWAY,ATTN: TIM BUB,"Broadview Heights,OH 44147 - US",
YT02203,"RIVET,POP SS 1/8 DIA - #SSD44BS",FS,YTS-INTERNATIONAL,561632,1,07-JUL-20,07-JUL-20,28-JUL-20,11-NOV-20,18-SEP-20,18-SEP-20,500,0.04,20.00,0.03,0.03,,,,,WABTEC BRASIL FABRICA‚ÌO E MANUTEN‚ÌO DE EQUIPAMENTOS LTDA.,AV. GENERAL DAVID SARNOFF,"CIDADE INDUSTRIAL, 4600","CONTAGEM/MG, 32210-110 - BR",
YT03045,AFTERCOOLER PKGD 4PASS W/TK,6,YTS-DOMESTIC,557715,1,03-MAR-20,31-JUL-19,02-APR-20,07-OCT-20,25-SEP-20,25-SEP-20,4,"3,271.00","13,084.00","2,563.73","1,584.91",,182.89,795.82,0.10,MOTIVE POWER-BOISE,901 FRANKLIN AVENUE,BUILDING 18 SOUTH DOCK,"Erie,PA 16531 - US",
YT03045,AFTERCOOLER PKGD 4PASS W/TK,6,YTS-DOMESTIC,557715,3,03-MAR-20,31-JUL-19,02-APR-20,15-OCT-20,02-OCT-20,02-OCT-20,4,"3,271.00","13,084.00","2,563.73","1,584.91",,182.89,795.82,0.10,MOTIVE POWER-BOISE,901 FRANKLIN AVENUE,BUILDING 18 SOUTH DOCK,"Erie,PA 16531 - US",
YT03045,AFTERCOOLER PKGD 4PASS W/TK,6,YTS-DOMESTIC,557715,2,03-MAR-20,31-JUL-19,02-APR-20,15-OCT-20,02-OCT-20,02-OCT-20,4,"3,271.00","13,084.00","2,563.73","1,584.91",,182.89,795.82,0.10,MOTIVE POWER-BOISE,901 FRANKLIN AVENUE,BUILDING 18 SOUTH DOCK,"Erie,PA 16531 - US",
YT03045,AFTERCOOLER PKGD 4PASS W/TK,6,YTS-DOMESTIC,557715,4,03-MAR-20,31-JUL-19,02-APR-20,25-NOV-20,13-NOV-20,13-NOV-20,4,"3,271.00","13,084.00","2,563.73","1,584.91",,182.89,795.82,0.10,MOTIVE POWER-BOISE,901 FRANKLIN AVENUE,BUILDING 18 SOUTH DOCK,"Erie,PA 16531 - US",
YT03045,AFTERCOOLER PKGD 4PASS W/TK,6,YTS-DOMESTIC,557715,5,03-MAR-20,31-JUL-19,02-APR-20,04-JAN-21,21-DEC-20,21-DEC-20,4,"3,271.00","13,084.00","2,563.73","1,584.91",,182.89,795.82,0.10,MOTIVE POWER-BOISE,901 FRANKLIN AVENUE,BUILDING 18 SOUTH DOCK,"Erie,PA 16531 - US",
YT04906-096.00,O-RING .188 VITON,DU,YTS-DOMESTIC,560788,2,08-APR-20,08-APR-20,13-AUG-20,18-SEP-20,18-SEP-20,18-SEP-20,1,0.00,0.00,9.04,9.04,,,,,OHIO CAT,900 KEN MAR INDUSTRIAL PARKWAY,ATTN: TIM BUB,"Broadview Heights,OH 44147 - US",
