Item,Bucket,Date,End Date,Number of Buckets,Current,Original,Total,Confidence(%),Project Number,,Task Number,Line,Comment,Forecast,[  ]
YT05629-53,Days,8/12/2021,,1,10,10,10,100,,,,,CAT 70.00,LEX-FCST,.
YT05629-53,Days,8/27/2021,,1,4,4,4,100,,,,,CAT 70.00,LEX-FCST,.
YT05629-53,Days,9/13/2021,,1,9,9,9,100,,,,,CAT 70.00,LEX-FCST,.
YT05629-53,Days,9/28/2021,,1,4,4,4,100,,,,,CAT 70.00,LEX-FCST,.
YT05629-53,Days,10/12/2021,,1,13,13,13,100,,,,,CAT 70.00,LEX-FCST,.
YT05629-53,Days,11/9/2021,,1,11,11,11,100,,,,,CAT 70.00,LEX-FCST,.
YT05633-01-5,Days,9/28/2021,,1,1,1,1,100,,,,,CAT 505.00,LEX-FCST,.
YT05634-00,Days,8/3/2021,,1,3,3,3,100,,,,,CAT 242.00,LEX-FCST,.
YT05634-00,Days,10/5/2021,,1,2,2,2,100,,,,,CAT 242.00,LEX-FCST,.
YT05634-03,Days,4/20/2021,,1,2,2,2,100,,,,,CAT 542.00,LEX-FCST,.
YT05634-03,Days,5/25/2021,,1,2,2,2,100,,,,,CAT 542.00,LEX-FCST,.
YT05634-03,Days,7/27/2021,,1,4,4,4,100,,,,,CAT 542.00,LEX-FCST,.
YT05634-03,Days,9/21/2021,,1,2,2,2,100,,,,,CAT 542.00,LEX-FCST,.
YT05634-03,Days,11/23/2021,,1,4,4,4,100,,,,,CAT 542.00,LEX-FCST,.
YT05634-04,Days,10/12/2021,,1,1,1,1,100,,,,,CAT 216.00,LEX-FCST,.
YT05634-07-B,Days,3/16/2021,,1,0,0,0,100,,,,,CAT 353.00,LEX-FCST,.
YT05634-07-B,Days,3/30/2021,,1,0,0,0,100,,,,,CAT 353.00,LEX-FCST,.
YT065713-901,Days,4/1/2021,,1,3,3,3,100,,,,,INN 62.00,LEX-FCST,.
YT065713-901,Days,11/1/2021,,1,2,2,2,100,,,,,INN 62.00,LEX-FCST,.
YT065955-901,Days,4/7/2021,,1,17,17,17,100,,,,,PR 38.00,LEX-FCST,.
YT065955-901,Days,5/7/2021,,1,5,5,5,100,,,,,PR 38.00,LEX-FCST,.
YT065955-901,Days,6/7/2021,,1,23,23,23,100,,,,,PR 38.00,LEX-FCST,.
YT065955-901,Days,7/7/2021,,1,11,11,11,100,,,,,PR 38.00,LEX-FCST,.
YT065955-901,Days,8/6/2021,,1,9,9,9,100,,,,,PR 38.00,LEX-FCST,.
YT065955-901,Days,9/7/2021,,1,28,28,28,100,,,,,PR 38.00,LEX-FCST,.
YT065955-901,Days,10/7/2021,,1,10,10,10,100,,,,,PR 38.00,LEX-FCST,.
YT07419,Days,5/3/2021,,1,0,1,0,100,,,,,GE  8401.00,LEX-FCST,.
YT07419,Days,5/10/2021,,1,1,1,1,100,,,,,GE  8401.00,LEX-FCST,.
YT07419,Days,5/17/2021,,1,1,1,1,100,,,,,GE  8401.00,LEX-FCST,.
YT07419,Days,5/24/2021,,1,2,2,2,100,,,,,GE  8401.00,LEX-FCST,.
YT07419,Days,5/28/2021,,1,1,1,1,100,,,,,GE  8401.00,LEX-FCST,.
YT07419,Days,6/7/2021,,1,1,1,1,100,,,,,GE  8401.00,LEX-FCST,.
YT07419,Days,6/14/2021,,1,1,1,1,100,,,,,GE  8401.00,LEX-FCST,.
YT07419,Days,6/21/2021,,1,2,2,2,100,,,,,GE  8401.00,LEX-FCST,.
YT07419,Days,6/28/2021,,1,3,3,3,100,,,,,GE  8401.00,LEX-FCST,.
YT07419,Days,7/2/2021,,1,2,2,2,100,,,,,GE  8401.00,LEX-FCST,.
YT07419,Days,7/12/2021,,1,1,1,1,100,,,,,GE  8401.00,LEX-FCST,.
YT07419,Days,7/19/2021,,1,1,1,1,100,,,,,GE  8401.00,LEX-FCST,.
YT07419,Days,7/26/2021,,1,2,2,2,100,,,,,GE  8401.00,LEX-FCST,.
YT07419,Days,8/2/2021,,1,1,1,1,100,,,,,GE  8401.00,LEX-FCST,.
YT07419,Days,8/9/2021,,1,1,1,1,100,,,,,GE  8401.00,LEX-FCST,.
